"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"Time",0.02,0.22,0.21,0.02,NA,0.01,2.28,0.03,NA,NA,NA,NA,0.01,0.28,0.17,0.17,NA,NA,3.47,1.27,NA,NA,NA,NA,0.01,0.25,0.17,0.01,NA,NA,0.03,0.01,NA,NA,0.12,NA,0.01,0.3,0.01,0.02,0.01,12.49,0.01,3.41,NA,0.03,NA,0.57,0.18,0.01,0.19,0.16,1.03,NA,6.43,2.74,0.2,NA,0.14,NA,0.2,0.01,0.26,0.01,NA,NA,1.45,4.52,0.12,NA,NA,NA,0.26,0.21,0.2,0.19,NA,0.16,1.73,2.39,NA,NA,NA,NA
"Time",0.26,0.25,0.2,0.2,0.03,NA,1.41,1.25,0.01,NA,0.34,NA,0.19,0.24,0.21,0.19,NA,NA,0.01,0.03,0.15,NA,NA,NA,0.01,0.17,0.26,0.01,NA,NA,1.42,1.38,NA,0.07,NA,NA,0.19,0.24,0.2,0.01,0.01,NA,3.56,1.34,NA,NA,NA,0.01,0.21,0.19,0.2,0.01,1.03,0.07,5.63,3.51,0.12,NA,NA,NA,0.01,0.17,0.26,0.21,0.01,NA,1.47,0.02,0.02,NA,NA,NA,0.19,0.22,0.18,0.22,4.53,0.84,0.03,2.38,NA,0.08,NA,NA
"Time",0.28,0.21,0.17,0.01,NA,NA,1.38,1.38,NA,NA,NA,NA,0.01,0.19,0.01,0.02,NA,NA,3.31,0.03,NA,NA,0.17,0.04,0.2,0.18,0.18,0.18,NA,0.09,1.38,1.33,NA,0.08,NA,NA,0.23,0.01,0.19,0.21,NA,NA,2.43,3.53,NA,NA,NA,0.01,0.2,0.21,0.18,0.15,NA,NA,1.47,1.59,NA,0.26,NA,NA,0.32,0.02,0.2,0.19,NA,8.55,1.26,3.51,0.04,NA,NA,NA,0.21,0.23,0.26,0.16,NA,0.91,0.02,2.52,NA,0.01,NA,NA
"Time",0.23,0.28,0.16,0.18,0.01,NA,1.32,0.08,NA,NA,0.01,NA,0.01,0.21,0.01,0.23,0.01,NA,0.03,1.51,0.01,NA,NA,NA,0.23,0.19,0.17,0.01,NA,12.58,1.49,1.3,NA,NA,NA,NA,0.22,0.19,0.01,0.01,NA,NA,5.33,0.03,NA,0.02,NA,0.14,0.18,0.21,0.22,0.23,NA,NA,2.5,1.5,NA,NA,NA,NA,0.01,0.19,0.16,0.16,17.2,11.67,0.08,3.33,NA,0.15,0.29,NA,0.24,0.19,0.19,0.16,0.84,0.76,5.43,0.01,0.34,NA,NA,NA
"Time",0.24,0.01,0.02,0.19,NA,NA,3.31,1.26,0.01,NA,NA,NA,0.02,0.21,0.23,0.31,0.01,NA,4.54,1.34,NA,NA,NA,NA,0.39,0.19,0.24,0.19,0.01,0.02,1.4,1.45,NA,NA,NA,NA,0.21,0.01,0.19,0.01,NA,0.02,2.6,1.54,NA,0.26,NA,NA,0.01,0.24,0.02,0.21,NA,NA,5.48,0.03,0.01,NA,NA,NA,0.23,0.2,0.23,0.23,NA,10.56,1.26,0.05,NA,0.06,NA,NA,0.01,0.2,0.01,0.2,0.03,3.06,2.72,3.63,NA,NA,NA,NA
"Time",0.03,0.2,0.02,0.16,NA,NA,1.28,1.23,NA,NA,NA,0.03,0.01,0.01,0.18,0.2,NA,NA,1.37,2.41,NA,NA,NA,NA,0.3,0.21,0.18,0.15,NA,0.77,0.01,1.47,0.09,NA,NA,NA,0.01,0.19,0.01,0.01,0.03,NA,6.35,0.03,NA,NA,NA,NA,0.01,0.23,0.18,0.18,1.06,NA,8.49,0.69,NA,NA,NA,NA,0.23,0.21,0.2,0.01,0.02,NA,0.02,1.5,NA,NA,0.13,NA,0.17,0.25,0.23,0.19,1,0.08,2.44,14.46,NA,NA,0.01,NA
"Time",0.01,0.26,0.2,0.01,0.02,10.51,1.45,1.28,0.01,NA,0.08,0.67,0.01,0.19,0.01,0.21,NA,NA,1.38,0.02,NA,0.09,NA,NA,0.25,0.01,0.19,0.22,0.01,NA,0.02,0.01,0.06,NA,NA,NA,0.22,0.24,0.01,0.17,NA,NA,0.03,1.36,0.08,NA,NA,0.04,0.18,0.2,0.16,0.02,0.75,0.06,2.53,1.75,0.32,NA,NA,0.06,0.01,0.01,0.17,0.23,NA,17.53,1.39,2.53,0.22,NA,0.06,0.18,0.01,0.01,0.18,0.22,1.14,0.01,2.5,0.01,NA,NA,NA,NA
"Time",0.19,0.03,0.2,0.01,NA,6.6,1.36,1.31,0.02,0.06,NA,NA,0.22,0.19,0.16,0.25,0.02,NA,1.31,1.41,0.53,NA,NA,0.09,0.26,0.19,0.01,0.01,NA,0.03,1.37,0.07,NA,NA,NA,NA,0.27,0.29,0.22,0.01,NA,0.01,5.44,1.25,NA,NA,NA,NA,0.21,0.01,0.01,0.01,1.06,NA,2.54,3.62,NA,NA,NA,NA,0.19,0.23,0.18,0.2,NA,0.02,3.44,1.57,0.1,0.27,NA,NA,0.18,0.01,0.18,0.02,0.88,1,0.01,2.34,0.02,0.02,NA,0.19
"Time",0.22,0.19,0.2,0.17,NA,0.02,4.32,0.07,NA,NA,0.01,0.06,0.04,0.03,0.26,0.01,18.09,NA,0.01,1.37,NA,NA,NA,0.34,0.26,0.2,0.01,0.25,NA,0.06,0.05,1.5,NA,0.07,0.05,NA,0.24,0.2,0.01,0.18,0.87,0.01,1.32,1.43,NA,NA,NA,NA,0.19,0.19,0.01,0.24,13.19,NA,0.05,0.04,NA,0.28,NA,0.04,0.2,0.19,0.21,0.01,NA,NA,1.85,2.18,0.17,NA,NA,NA,0.18,0.2,0.25,0.01,NA,1.07,2.5,3.5,NA,NA,NA,NA
"Time",0.22,0.21,0.22,0.19,NA,NA,1.34,1.27,NA,0.1,NA,NA,0.26,0.18,0.01,0.18,NA,5.56,1.53,1.34,NA,NA,NA,NA,0.23,0.01,0.21,0.01,0.1,NA,3.53,1.3,NA,NA,NA,NA,0.21,0.02,0.19,0.27,0.01,6.46,1.37,0.01,NA,0.13,NA,NA,0.19,0.01,0.17,0.01,NA,NA,2.69,0.01,NA,NA,0.15,NA,0.2,0.01,0.18,0.21,0.01,0.01,3.38,2.58,NA,0.09,0.01,NA,0.18,0.28,0.22,0.01,NA,NA,0.01,6.46,NA,0.09,NA,NA
